Round,Date,Time,Team 1,FT,Team 2,Venue,Att,Comments
1,Sat Sep 19 2020,18:00,Fiorentina,1-0,Torino,Stadio Artemio Franchi,,
1,Sat Sep 19 2020,20:45,Hellas Verona,3-0,Roma,Stadio Marc'Antonio Bentegodi,,Match awarded to Hellas Verona
1,Sun Sep 20 2020,12:30,Parma,0-2,Napoli,Stadio Ennio Tardini,1000,
1,Sun Sep 20 2020,15:00,Genoa,4-1,Crotone,Stadio Comunale Luigi Ferraris,,
1,Sun Sep 20 2020,18:00,Sassuolo,1-1,Cagliari,Stadio Città del Tricolore,850,
1,Sun Sep 20 2020,20:45,Juventus,3-0,Sampdoria,Allianz Stadium,1000,
1,Mon Sep 21 2020,20:45,Milan,2-0,Bologna,Stadio Giuseppe Meazza,1000,
2,Sat Sep 26 2020,15:00,Torino,2-4,Atalanta,Stadio Olimpico di Torino,1000,
2,Sat Sep 26 2020,18:00,Cagliari,0-2,Lazio,Sardegna Arena,1000,
2,Sat Sep 26 2020,18:00,Sampdoria,2-3,Benevento,Stadio Comunale Luigi Ferraris,1000,
2,Sat Sep 26 2020,20:45,Inter,4-3,Fiorentina,Stadio Giuseppe Meazza,1000,
2,Sun Sep 27 2020,12:30,Spezia,1-4,Sassuolo,Stadio Dino Manuzzi,1000,
2,Sun Sep 27 2020,15:00,Hellas Verona,1-0,Udinese,Stadio Marc'Antonio Bentegodi,1000,
2,Sun Sep 27 2020,18:00,Napoli,6-0,Genoa,Stadio San Paolo,1000,
2,Sun Sep 27 2020,18:00,Crotone,0-2,Milan,Stadio Ezio Scida,,
2,Sun Sep 27 2020,20:45,Roma,2-2,Juventus,Stadio Olimpico,1000,
2,Mon Sep 28 2020,20:45,Bologna,4-1,Parma,Stadio Renato Dall'Ara,1000,
1,Wed Sep 30 2020,18:00,Udinese,0-2,Spezia,Dacia Arena,1000,
1,Wed Sep 30 2020,18:00,Benevento,2-5,Inter,Stadio Ciro Vigorito,1000,
1,Wed Sep 30 2020,20:45,Lazio,1-4,Atalanta,Stadio Olimpico,1000,
3,Fri Oct 2 2020,20:45,Fiorentina,1-2,Sampdoria,Stadio Artemio Franchi,1000,
3,Sat Oct 3 2020,15:00,Sassuolo,4-1,Crotone,Stadio Città del Tricolore,1000,
3,Sat Oct 3 2020,20:45,Udinese,0-1,Roma,Dacia Arena,1000,
3,Sun Oct 4 2020,12:30,Atalanta,5-2,Cagliari,Stadio Atleti Azzurri d'Italia,1000,
3,Sun Oct 4 2020,15:00,Lazio,1-1,Inter,Stadio Olimpico,1000,
3,Sun Oct 4 2020,15:00,Parma,1-0,Hellas Verona,Stadio Ennio Tardini,1000,
3,Sun Oct 4 2020,15:00,Benevento,1-0,Bologna,Stadio Ciro Vigorito,1000,
3,Sun Oct 4 2020,18:00,Milan,3-0,Spezia,Stadio Giuseppe Meazza,1000,
3,Sun Oct 4 2020,20:45,Juventus,3-0,Napoli,Allianz Stadium,,Match awarded to Juventus
4,Sat Oct 17 2020,15:00,Napoli,4-1,Atalanta,Stadio San Paolo,1000,
4,Sat Oct 17 2020,18:00,Sampdoria,3-0,Lazio,Stadio Comunale Luigi Ferraris,1000,
4,Sat Oct 17 2020,18:00,Inter,1-2,Milan,Stadio Giuseppe Meazza,1000,
4,Sat Oct 17 2020,20:45,Crotone,1-1,Juventus,Stadio Ezio Scida,1000,
4,Sun Oct 18 2020,12:30,Bologna,3-4,Sassuolo,Stadio Renato Dall'Ara,1000,
4,Sun Oct 18 2020,15:00,Torino,2-3,Cagliari,Stadio Olimpico di Torino,1000,
4,Sun Oct 18 2020,15:00,Spezia,2-2,Fiorentina,Stadio Dino Manuzzi,1000,
4,Sun Oct 18 2020,18:00,Udinese,3-2,Parma,Dacia Arena,1000,
4,Sun Oct 18 2020,20:45,Roma,5-2,Benevento,Stadio Olimpico,1000,
4,Mon Oct 19 2020,20:45,Hellas Verona,0-0,Genoa,Stadio Marc'Antonio Bentegodi,10002,
5,Fri Oct 23 2020,20:45,Sassuolo,3-3,Torino,Stadio Città del Tricolore,700,
5,Sat Oct 24 2020,15:00,Atalanta,1-3,Sampdoria,Stadio Atleti Azzurri d'Italia,1000,
5,Sat Oct 24 2020,18:00,Genoa,0-2,Inter,Stadio Comunale Luigi Ferraris,1000,
5,Sat Oct 24 2020,20:45,Lazio,2-1,Bologna,Stadio Olimpico,1000,
5,Sun Oct 25 2020,12:30,Cagliari,4-2,Crotone,Sardegna Arena,1000,
5,Sun Oct 25 2020,15:00,Benevento,1-2,Napoli,Stadio Ciro Vigorito,1000,
5,Sun Oct 25 2020,15:00,Parma,2-2,Spezia,Stadio Ennio Tardini,1000,
5,Sun Oct 25 2020,18:00,Fiorentina,3-2,Udinese,Stadio Artemio Franchi,1000,
5,Sun Oct 25 2020,20:45,Juventus,1-1,Hellas Verona,Allianz Stadium,1000,
5,Mon Oct 26 2020,20:45,Milan,3-3,Roma,Stadio Giuseppe Meazza,,
6,Sat Oct 31 2020,15:00,Crotone,1-2,Atalanta,Stadio Ezio Scida,,
6,Sat Oct 31 2020,18:00,Inter,2-2,Parma,Stadio Giuseppe Meazza,,
6,Sat Oct 31 2020,20:45,Bologna,3-2,Cagliari,Stadio Renato Dall'Ara,,
6,Sun Nov 1 2020,12:30,Udinese,1-2,Milan,Dacia Arena,,
6,Sun Nov 1 2020,15:00,Torino,3-4,Lazio,Stadio Olimpico di Torino,,
6,Sun Nov 1 2020,15:00,Spezia,1-4,Juventus,Stadio Dino Manuzzi,,
6,Sun Nov 1 2020,18:00,Roma,2-0,Fiorentina,Stadio Olimpico,,
6,Sun Nov 1 2020,18:00,Napoli,0-2,Sassuolo,Stadio San Paolo,,
6,Sun Nov 1 2020,20:45,Sampdoria,1-1,Genoa,Stadio Comunale Luigi Ferraris,,
6,Mon Nov 2 2020,20:45,Hellas Verona,3-1,Benevento,Stadio Marc'Antonio Bentegodi,,
3,Wed Nov 4 2020,17:00,Genoa,1-2,Torino,Stadio Comunale Luigi Ferraris,,
7,Fri Nov 6 2020,20:45,Sassuolo,0-0,Udinese,Stadio Città del Tricolore,,
7,Sat Nov 7 2020,15:00,Cagliari,2-0,Sampdoria,Sardegna Arena,,
7,Sat Nov 7 2020,18:00,Benevento,0-3,Spezia,Stadio Ciro Vigorito,,
7,Sat Nov 7 2020,20:45,Parma,0-0,Fiorentina,Stadio Ennio Tardini,,
7,Sun Nov 8 2020,12:30,Lazio,1-1,Juventus,Stadio Olimpico,,
7,Sun Nov 8 2020,15:00,Atalanta,1-1,Inter,Stadio Atleti Azzurri d'Italia,,
7,Sun Nov 8 2020,15:00,Genoa,1-3,Roma,Stadio Comunale Luigi Ferraris,,
7,Sun Nov 8 2020,15:00,Torino,0-0,Crotone,Stadio Olimpico di Torino,,
7,Sun Nov 8 2020,18:00,Bologna,0-1,Napoli,Stadio Renato Dall'Ara,,
7,Sun Nov 8 2020,20:45,Milan,2-2,Hellas Verona,Stadio Giuseppe Meazza,,
8,Sat Nov 21 2020,15:00,Crotone,0-2,Lazio,Stadio Ezio Scida,,
8,Sat Nov 21 2020,18:00,Spezia,0-0,Atalanta,Stadio Dino Manuzzi,,
8,Sat Nov 21 2020,20:45,Juventus,2-0,Cagliari,Allianz Stadium,,
8,Sun Nov 22 2020,12:30,Fiorentina,0-1,Benevento,Stadio Artemio Franchi,,
8,Sun Nov 22 2020,15:00,Hellas Verona,0-2,Sassuolo,Stadio Marc'Antonio Bentegodi,,
8,Sun Nov 22 2020,15:00,Inter,4-2,Torino,Stadio Giuseppe Meazza,,
8,Sun Nov 22 2020,15:00,Roma,3-0,Parma,Stadio Olimpico,,
8,Sun Nov 22 2020,15:00,Sampdoria,1-2,Bologna,Stadio Comunale Luigi Ferraris,,
8,Sun Nov 22 2020,18:00,Udinese,1-0,Genoa,Dacia Arena,,
8,Sun Nov 22 2020,20:45,Napoli,1-3,Milan,Stadio San Paolo,,
9,Sat Nov 28 2020,15:00,Sassuolo,,Inter,Stadio Città del Tricolore,,
9,Sat Nov 28 2020,18:00,Benevento,,Juventus,Stadio Ciro Vigorito,,
9,Sat Nov 28 2020,20:45,Atalanta,,Hellas Verona,Stadio Atleti Azzurri d'Italia,,
9,Sun Nov 29 2020,12:30,Lazio,,Udinese,Stadio Olimpico,,
9,Sun Nov 29 2020,15:00,Milan,,Fiorentina,Stadio Giuseppe Meazza,,
9,Sun Nov 29 2020,15:00,Bologna,,Crotone,Stadio Renato Dall'Ara,,
9,Sun Nov 29 2020,18:00,Cagliari,,Spezia,Sardegna Arena,,
9,Sun Nov 29 2020,20:45,Napoli,,Roma,Stadio San Paolo,,
9,Mon Nov 30 2020,18:30,Torino,,Sampdoria,Stadio Olimpico di Torino,,
9,Mon Nov 30 2020,20:45,Genoa,,Parma,Stadio Comunale Luigi Ferraris,,
10,Sat Dec 5 2020,15:00,Spezia,,Lazio,Stadio Dino Manuzzi,,
10,Sat Dec 5 2020,18:00,Juventus,,Torino,Allianz Stadium,,
10,Sat Dec 5 2020,20:45,Inter,,Bologna,Stadio Giuseppe Meazza,,
10,Sun Dec 6 2020,12:30,Hellas Verona,,Cagliari,Stadio Marc'Antonio Bentegodi,,
10,Sun Dec 6 2020,15:00,Parma,,Benevento,Stadio Ennio Tardini,,
10,Sun Dec 6 2020,15:00,Roma,,Sassuolo,Stadio Olimpico,,
10,Sun Dec 6 2020,15:00,Udinese,,Atalanta,Dacia Arena,,
10,Sun Dec 6 2020,18:00,Crotone,,Napoli,Stadio Ezio Scida,,
10,Sun Dec 6 2020,20:45,Sampdoria,,Milan,Stadio Comunale Luigi Ferraris,,
10,Mon Dec 7 2020,20:45,Fiorentina,,Genoa,Stadio Artemio Franchi,,
11,Fri Dec 11 2020,20:45,Sassuolo,,Benevento,Stadio Città del Tricolore,,
11,Sat Dec 12 2020,15:00,Crotone,,Spezia,Stadio Ezio Scida,,
11,Sat Dec 12 2020,18:00,Torino,,Udinese,Stadio Olimpico di Torino,,
11,Sat Dec 12 2020,20:45,Lazio,,Hellas Verona,Stadio Olimpico,,
11,Sun Dec 13 2020,12:30,Cagliari,,Inter,Sardegna Arena,,
11,Sun Dec 13 2020,15:00,Atalanta,,Fiorentina,Stadio Atleti Azzurri d'Italia,,
11,Sun Dec 13 2020,15:00,Bologna,,Roma,Stadio Renato Dall'Ara,,
11,Sun Dec 13 2020,15:00,Napoli,,Sampdoria,Stadio San Paolo,,
11,Sun Dec 13 2020,18:00,Genoa,,Juventus,Stadio Comunale Luigi Ferraris,,
11,Sun Dec 13 2020,20:45,Milan,,Parma,Stadio Giuseppe Meazza,,
12,Tue Dec 15 2020,18:30,Udinese,,Crotone,Dacia Arena,,
12,Tue Dec 15 2020,20:45,Benevento,,Lazio,Stadio Ciro Vigorito,,
12,Wed Dec 16 2020,18:30,Juventus,,Atalanta,Allianz Stadium,,
12,Wed Dec 16 2020,20:45,Fiorentina,,Sassuolo,Stadio Artemio Franchi,,
12,Wed Dec 16 2020,20:45,Genoa,,Milan,Stadio Comunale Luigi Ferraris,,
12,Wed Dec 16 2020,20:45,Spezia,,Bologna,Stadio Dino Manuzzi,,
12,Wed Dec 16 2020,20:45,Hellas Verona,,Sampdoria,Stadio Marc'Antonio Bentegodi,,
12,Wed Dec 16 2020,20:45,Inter,,Napoli,Stadio Giuseppe Meazza,,
12,Wed Dec 16 2020,20:45,Parma,,Cagliari,Stadio Ennio Tardini,,
12,Thu Dec 17 2020,20:45,Roma,,Torino,Stadio Olimpico,,
13,Sat Dec 19 2020,15:00,Fiorentina,,Hellas Verona,Stadio Artemio Franchi,,
13,Sat Dec 19 2020,18:00,Sampdoria,,Crotone,Stadio Comunale Luigi Ferraris,,
13,Sat Dec 19 2020,20:45,Parma,,Juventus,Stadio Ennio Tardini,,
13,Sun Dec 20 2020,12:30,Torino,,Bologna,Stadio Olimpico di Torino,,
13,Sun Dec 20 2020,15:00,Inter,,Spezia,Stadio Giuseppe Meazza,,
13,Sun Dec 20 2020,15:00,Benevento,,Genoa,Stadio Ciro Vigorito,,
13,Sun Dec 20 2020,15:00,Cagliari,,Udinese,Sardegna Arena,,
13,Sun Dec 20 2020,15:00,Sassuolo,,Milan,Stadio Città del Tricolore,,
13,Sun Dec 20 2020,18:00,Atalanta,,Roma,Stadio Atleti Azzurri d'Italia,,
13,Sun Dec 20 2020,20:45,Lazio,,Napoli,Stadio Olimpico,,
14,Tue Dec 22 2020,18:30,Crotone,,Parma,Stadio Ezio Scida,,
14,Tue Dec 22 2020,20:45,Juventus,,Fiorentina,Allianz Stadium,,
14,Wed Dec 23 2020,18:30,Hellas Verona,,Inter,Stadio Marc'Antonio Bentegodi,,
14,Wed Dec 23 2020,20:45,Udinese,,Benevento,Dacia Arena,,
14,Wed Dec 23 2020,20:45,Sampdoria,,Sassuolo,Stadio Comunale Luigi Ferraris,,
14,Wed Dec 23 2020,20:45,Napoli,,Torino,Stadio San Paolo,,
14,Wed Dec 23 2020,20:45,Bologna,,Atalanta,Stadio Renato Dall'Ara,,
14,Wed Dec 23 2020,20:45,Roma,,Cagliari,Stadio Olimpico,,
14,Wed Dec 23 2020,20:45,Milan,,Lazio,Stadio Giuseppe Meazza,,
14,Wed Dec 23 2020,20:45,Spezia,,Genoa,Stadio Dino Manuzzi,,
15,Sun Jan 3 2021,12:30,Inter,,Crotone,Stadio Giuseppe Meazza,,
15,Sun Jan 3 2021,15:00,Fiorentina,,Bologna,Stadio Artemio Franchi,,
15,Sun Jan 3 2021,15:00,Parma,,Torino,Stadio Ennio Tardini,,
15,Sun Jan 3 2021,15:00,Atalanta,,Sassuolo,Stadio Atleti Azzurri d'Italia,,
15,Sun Jan 3 2021,15:00,Roma,,Sampdoria,Stadio Olimpico,,
15,Sun Jan 3 2021,15:00,Genoa,,Lazio,Stadio Comunale Luigi Ferraris,,
15,Sun Jan 3 2021,15:00,Cagliari,,Napoli,Sardegna Arena,,
15,Sun Jan 3 2021,15:00,Spezia,,Hellas Verona,Stadio Dino Manuzzi,,
15,Sun Jan 3 2021,18:00,Benevento,,Milan,Stadio Ciro Vigorito,,
15,Sun Jan 3 2021,20:45,Juventus,,Udinese,Allianz Stadium,,
16,Wed Jan 6 2021,12:30,Cagliari,,Benevento,Sardegna Arena,,
16,Wed Jan 6 2021,15:00,Bologna,,Udinese,Stadio Renato Dall'Ara,,
16,Wed Jan 6 2021,15:00,Sampdoria,,Inter,Stadio Comunale Luigi Ferraris,,
16,Wed Jan 6 2021,15:00,Atalanta,,Parma,Stadio Atleti Azzurri d'Italia,,
16,Wed Jan 6 2021,15:00,Lazio,,Fiorentina,Stadio Olimpico,,
16,Wed Jan 6 2021,15:00,Sassuolo,,Genoa,Stadio Città del Tricolore,,
16,Wed Jan 6 2021,15:00,Crotone,,Roma,Stadio Ezio Scida,,
16,Wed Jan 6 2021,15:00,Torino,,Hellas Verona,Stadio Olimpico di Torino,,
16,Wed Jan 6 2021,18:00,Napoli,,Spezia,Stadio San Paolo,,
16,Wed Jan 6 2021,20:45,Milan,,Juventus,Stadio Giuseppe Meazza,,
17,Sat Jan 9 2021,20:45,Roma,,Inter,Stadio Olimpico,,
17,Sun Jan 10 2021,,Udinese,,Napoli,Dacia Arena,,
17,Sun Jan 10 2021,,Spezia,,Sampdoria,Stadio Dino Manuzzi,,
17,Sun Jan 10 2021,,Genoa,,Bologna,Stadio Comunale Luigi Ferraris,,
17,Sun Jan 10 2021,,Fiorentina,,Cagliari,Stadio Artemio Franchi,,
17,Sun Jan 10 2021,,Parma,,Lazio,Stadio Ennio Tardini,,
17,Sun Jan 10 2021,,Benevento,,Atalanta,Stadio Ciro Vigorito,,
17,Sun Jan 10 2021,,Hellas Verona,,Crotone,Stadio Marc'Antonio Bentegodi,,
17,Sun Jan 10 2021,,Juventus,,Sassuolo,Allianz Stadium,,
17,Sun Jan 10 2021,,Milan,,Torino,Stadio Giuseppe Meazza,,
18,Sun Jan 17 2021,,Sampdoria,,Udinese,Stadio Comunale Luigi Ferraris,,
18,Sun Jan 17 2021,,Lazio,,Roma,Stadio Olimpico,,
18,Sun Jan 17 2021,,Cagliari,,Milan,Sardegna Arena,,
18,Sun Jan 17 2021,,Torino,,Spezia,Stadio Olimpico di Torino,,
18,Sun Jan 17 2021,,Crotone,,Benevento,Stadio Ezio Scida,,
18,Sun Jan 17 2021,,Bologna,,Hellas Verona,Stadio Renato Dall'Ara,,
18,Sun Jan 17 2021,,Atalanta,,Genoa,Stadio Atleti Azzurri d'Italia,,
18,Sun Jan 17 2021,,Napoli,,Fiorentina,Stadio San Paolo,,
18,Sun Jan 17 2021,,Sassuolo,,Parma,Stadio Città del Tricolore,,
18,Sun Jan 17 2021,20:45,Inter,,Juventus,Stadio Giuseppe Meazza,,
19,Sun Jan 24 2021,,Roma,,Spezia,Stadio Olimpico,,
19,Sun Jan 24 2021,,Milan,,Atalanta,Stadio Giuseppe Meazza,,
